first_name,known_name,second_name,web_name
Ármin,,Pécsi,Pécsi
Freddie,,Woodman,Woodman
Jeremie,,Frimpong,Frimpong
Milos,,Kerkez,Kerkez
Andrew,,Robertson,Robertson
Virgil,,van Dijk,Virgil
Ibrahima,,Konaté,Konaté
Conor,,Bradley,Bradley
Joe,,Gomez,Gomez
Konstantinos,,Tsimikas,Tsimikas
Amara,,Nallo,Nallo
Rhys,,Williams,R.Williams
Calvin,,Ramsay,Ramsay
Mohamed,Mohamed Salah,Salah,M.Salah
Florian,,Wirtz,Wirtz
Luis,,Díaz Marulanda,Luis Díaz
Cody,,Gakpo,Gakpo
Federico,,Chiesa,Chiesa
Alexis,,Mac Allister,Mac Allister
Dominik,,Szoboszlai,Szoboszlai
Curtis,,Jones,C.Jones
Ryan,,Gravenberch,Gravenberch
Endo,,Wataru,Endo
Stefan,,Bajčetić Maquieira,Bajcetic
James,,McConnell,McConnell
Tyler,,Morton,Morton
Trey,,Nyoni,Nyoni
Darwin,,Núñez Ribeiro,Darwin
Jayden,,Danns,Danns
Alexander,,Isak,Isak
Hugo,,Ekitiké,Ekitiké
Rio,,Ngumoha,Ngumoha
Giovanni,,Leoni,Leoni
Kieran,,Morrison,Morrison
Wellity,,Lucky,Lucky
Antoine,,Semenyo,Semenyo
James,,Trafford,Trafford
Marc,,Guéhi,Guéhi
Ederson,,Santana de Moraes,Ederson M.
Marcus,,Bettinelli,Bettinelli
Rayan,,Aït-Nouri,Aït-Nouri
Joško,,Gvardiol,Gvardiol
Manuel,,Akanji,Akanji
Nathan,,Aké,Aké
Abdukodir,,Khusanov,Khusanov
Matheus,Matheus Nunes,Nunes,Matheus N.
Rúben,Rúben Dias,dos Santos Gato Alves Dias,Rúben
John,,Stones,Stones
Rico,,Lewis,Lewis
Nico,,O'Reilly,O'Reilly
Vitor,,de Oliveira Nunes dos Reis,Vitor Reis
Omar,Omar Marmoush,Marmoush,Marmoush
Phil,,Foden,Foden
Sávio,Savinho,Moreira de Oliveira,Savinho
Bernardo,Bernardo Silva,Mota Veiga de Carvalho e Silva,Bernardo
Rayan,,Cherki,Cherki
Jérémy,,Doku,Doku
İlkay,,Gündoğan,Gündoğan
Rodrigo 'Rodri',Rodri,Hernandez Cascante,Rodrigo
Mateo,,Kovačić,Kovačić
Nico,,González Iglesias,N.Gonzalez
Claudio,,Echeverri,Echeverri
Tijjani,,Reijnders,Reijnders
Sverre,,Nypan,Nypan
Kalvin,,Phillips,Phillips
Erling,,Haaland,Haaland
Gianluigi,,Donnarumma,Donnarumma
Divine,,Mukasa,Mukasa
Stephen,,Mfuni,Mfuni
Ryan,,McAidoo,McAidoo
Charlie,,Gray,Gray
Reigan,Reigan Heskey,Heskey,Heskey
Max,,Alleyne,Alleyne
Bryan,,Mbeumo,Mbeumo
Altay,,Bayındır,Bayindir
André,,Onana,Onana
Elyh,,Harrison,Harrison
Tom,,Heaton,Heaton
Dermot,,Mee,Mee
Matthijs,,de Ligt,De Ligt
Lisandro,,Martínez,Martinez
Noussair,,Mazraoui,Mazraoui
Diego,,León Blanco,D.Leon
Diogo,Diogo Dalot,Dalot Teixeira,Dalot
Patrick,,Dorgu,Dorgu
Harry,,Maguire,Maguire
Luke,,Shaw,Shaw
Leny,,Yoro,Yoro
Harry,,Amass,Amass
Tyler,,Fredricson,Fredricson
Ayden,,Heaven,Heaven
Tyrell,,Malacia,Malacia
Bruno,Bruno Fernandes,Borges Fernandes,B.Fernandes
Matheus,Matheus Cunha,Santos Carneiro da Cunha,Cunha
Marcus,,Rashford,Rashford
Amad,,Diallo,Amad
Antony,,dos Santos,Antony
Mason,,Mount,Mount
Carlos Henrique,Casemiro,Casimiro,Casemiro
Kobbie,,Mainoo,Mainoo
Manuel,,Ugarte Ribeiro,Ugarte
Toby,,Collyer,Collyer
Jayce,,Fitzgerald,Fitzgerald
Jack,Jack Fletcher,Fletcher,J.Fletcher
Sékou,,Koné,Kone
Jack,,Moorhouse,Moorhouse
Rasmus,,Højlund,Højlund
Joshua,,Zirkzee,Zirkzee
Chido,,Obi,Obi
Ethan,,Wheatley,Wheatley
Benjamin,,Sesko,Šeško
Senne,,Lammens,Lammens
Shea,,Lacey,Lacey
Bendito,,Mantato,Bendito Mantato
Tyler,Tyler Fletcher,Fletcher,Fletcher
Godwill,,Kukonki,Kukonki
Jacob,,Ramsey,J.Ramsey
Yoane,,Wissa,Wissa
Nick,,Pope,Pope
Mark,,Gillespie,Gillespie
Odysseas,,Vlachodimos,Odysseas
Lewis,,Hall,Hall
